Variety,Variety_Type,Pesticide,Pesticide_Type,Dose_Rate (g/L),Blast_Severity (%),Yield (kg/ha),Leaf_Area_Index,Tillers_per_Plant,Grain_Weight (g),Straw_Yield (kg/ha),Soil_pH,Soil_Moisture (%),Temperature (°C),Humidity (%),Rainfall (mm),Disease_Incidence (%),Plant_Height (cm),Root_Length (cm),Chlorophyll_Content (SPAD)
MTU1010,0,Pseudomonas,2,low,20.00270377,4337.717904,3.216082559,19,35.68026841,6339.568103,6.838470484,73.19069915,25.50264675,78.8149861,62.42320697,21.0314291,131.4166789,26.41729422,57.61366795
Swarna,0,Chemical_A,2,medium,12.98950564,5191.310599,3.612784542,19,21.47953589,4765.974616,5.76573184,70.69895177,33.9329104,50.93180102,183.0444459,11.30282256,127.9192143,36.37925145,48.09092163
BR11,0,Chemical_A,2,high,54.40930051,2509.241076,5.998331748,23,15.59288013,4956.357425,7.082252309,74.24532159,27.03404754,85.80269442,128.9605762,59.27773125,137.3683354,16.57038281,52.26756738
MTU1010,1,Trichoderma,1,low,29.37709561,5285.913248,4.533996316,14,36.32977118,5736.141298,7.180122545,67.10158919,32.34652418,81.97429091,149.3355449,34.5069895,125.1845011,33.40889628,36.91839214
Pusa44,1,Pseudomonas,2,medium,16.61263278,5357.253735,4.165767889,22,39.42709801,5679.743875,6.099785999,68.41188901,27.08920841,83.48894225,149.2355462,19.15991708,134.5879477,37.82138936,45.45466876
IR64,0,Chemical_A,1,high,40.31052968,4115.421725,2.414542183,12,27.67976134,6903.244469,7.151389644,55.70876025,33.09639311,76.19609386,249.687374,46.14172196,96.34903974,24.26147574,54.38977615
BR11,0,Trichoderma,1,low,23.8376349,5031.854151,4.837480825,18,23.39186685,5205.73285,6.00092225,53.44503671,23.98322558,86.88763318,242.4747804,25.91806181,124.7375363,24.87494284,57.96322054
IR64,1,Chemical_A,1,medium,63.5076371,3771.026206,4.324456702,20,30.86014655,6650.424851,7.229535842,78.23973559,33.63900286,67.00594162,156.7688557,62.53459751,136.5041218,11.92493043,54.39206221
MTU1010,0,Chemical_B,2,high,8.522385232,5152.12622,2.933815839,7,18.97449792,6276.385311,5.832828124,83.92776953,20.50558777,62.84723945,153.3311981,8.790015102,128.2693817,23.78560695,42.12534743
MTU1010,0,Chemical_B,2,low,75.91880214,1235.868518,4.723820729,22,35.91210589,6329.852421,7.215473315,67.17565306,23.67075705,57.11946518,64.56036006,82.45959181,111.4555422,13.88335065,54.20506669
BR11,1,Trichoderma,1,medium,43.04639395,4719.680563,4.600925729,8,19.64952209,8409.095501,6.591418485,55.71022783,24.25256199,81.35926077,147.9404593,42.47470283,105.0076878,37.31150422,31.54621714
BR11,0,Pseudomonas,2,high,13.38965472,4781.861255,6.671997652,14,17.95160079,5955.098527,5.920119513,84.83963412,28.27663591,68.02971146,50.1976562,12.57243322,132.0822719,28.78941755,41.88732477
Swarna,0,Chemical_A,1,low,9.971086271,5585.879947,6.415179317,17,18.11437917,5641.078272,7.091386938,73.01765401,30.72024315,55.8880405,86.74273099,11.92646187,118.6061516,33.05020702,40.67688091
